name,dob,race,address,email,children,has_kids,car,income,sqft,sleephours,pet
"Macchione, Dominique",1921-09-30,Hispanic,432 Azalea Rd Apt 2b Wilmington NC 28415,Macchione@aol.com,2,Yes,Merc 450SLC,3415,2400,4.525612248448169,cat
"Maclellan, Taylor",1939-06-10,NHOPI,123 Main St Chicago Ik 23948,Maclellan@yahoo.com,0,No,Mazda RX4,141449,2614,7.414487638833657,none
"Camacho, Skilah",1977-11-15,Two or more,"10 HWY 15 Philadelphia, PA, 19147",Camacho@outlook.com,3,Yes,Hornet Sportabout,217815,3607,6.133611072047824,cat
"Flores, Alexis",1975-07-19,Black/AA,432 Azalea Rd Apt 2b Wilmington NC 28415,Flores@outlook.com,0,No,Lincoln Continental,123264,2433,7.232640316799129,none
"Kimberling, Keith",1995-01-13,Hispanic,Elvis Presley Blvd MEMPHIS tn 38116,Kimberling@yahoo.com,1,Yes,Ferrari Dino,191786,1202,5.938391421626202,dog
"Lowe, Jessica",1983-06-12,White,"10 HWY 15 Philadelphia, PA, 19147",Lowe@gmail.com,1,Yes,Mazda RX4,27019,1200,4.702645610749567,none
"Qi, Robinson",1964-08-30,Hispanic,"10 HWY 15 Philadelphia, PA, 19147",Qi@outlook.com,0,No,Lotus Europa,23619,1436,6.23618785145397,none
"Mollard, Kestral",1976-01-29,Hispanic,Elvis Presley Blvd MEMPHIS tn 38116,Mollard@outlook.com,0,No,Camaro Z28,58163,1782,6.581629677910537,cat
"al-Mussa, Shuaib",1923-01-01,White,432 Azalea Rd Apt 2b Wilmington NC 28415,al-Mussa@outlook.com,0,No,Fiat 128,129689,2497,7.296894850718829,cat
"el-Salahuddin, Lutfiyya",1976-03-06,Two or more,"10 HWY 15 Philadelphia, PA, 19147",el-Salahuddin@yahoo.com,0,No,Camaro Z28,32615,1526,6.326147299754183,dog
"Le, Jesse",1928-09-23,Hispanic,123 Main St Chicago Ik 23948,Le@hotmail.com,2,Yes,Fiat 128,164801,2403,5.736004867960931,dog
"Wells, Jared",1937-01-25,Black/AA,Elvis Presley Blvd MEMPHIS tn 38116,Wells@outlook.com,0,No,Fiat 128,109140,2291,7.09140147203331,cat
"Ruiz, Mauricio",1936-03-21,AIAN,"23498 Abbey Road Philadeplhia PE, 19403",Ruiz@hotmail.com,0,No,Volvo 142E,37813,1578,6.378126039254277,none
"Vue, Allyson",2003-01-26,White,8234 Chester Ave Chapel Hill NC 27514,Vue@hotmail.com,0,No,Datsun 710,35994,1560,6.359943575251476,cat
"Prempeh, Terrence",1943-04-19,Hispanic,432 Azalea Rd Apt 2b Wilmington NC 28415,Prempeh@aol.com,1,Yes,Maserati Bora,39439,1200,4.795789176999878,none
"al-Salman, Awda",1927-09-15,White,"10 HWY 15 Philadelphia, PA, 19147",al-Salman@hotmail.com,5,Yes,Camaro Z28,84117,6004,5.130877307415741,dog
"Coggs, Darius",1956-08-03,White,8234 Chester Ave Chapel Hill NC 27514,Coggs@gmail.com,1,Yes,Honda Civic,12835,1200,4.59626456371576,cat
"Leon, Crystal",1994-08-08,White,"23498 Abbey Road Philadeplhia PE, 19403",Leon@hotmail.com,0,No,Fiat X1-9,67156,1872,6.671556937683848,none
"Zhang, Alexus",1986-03-21,White,"10 HWY 15 Philadelphia, PA, 19147",Zhang@outlook.com,0,No,Fiat X1-9,102545,2225,7.0254508098749415,dog
"Calhoun, Alyssa",1992-04-28,White,Elvis Presley Blvd MEMPHIS tn 38116,Calhoun@outlook.com,1,Yes,Merc 450SLC,52940,1201,4.897052314026179,dog
"Jaramillo, Santiago",2003-01-06,White,"23498 Abbey Road Philadeplhia PE, 19403",Jaramillo@outlook.com,0,No,Merc 240D,25926,1459,6.259262827586202,cat
"al-Salek, Najwa",1982-01-23,White,8234 Chester Ave Chapel Hill NC 27514,al-Salek@aol.com,0,No,Fiat X1-9,39801,1598,6.398014604990941,none
"Belfageoua, Tamethya",1999-08-21,Two or more,432 Azalea Rd Apt 2b Wilmington NC 28415,Belfageoua@gmail.com,0,No,Camaro Z28,28558,1486,6.28557760853777,dog
"Nelson, Adrian",1964-08-23,Black/AA,"23498 Abbey Road Philadeplhia PE, 19403",Nelson@gmail.com,0,No,Volvo 142E,27232,1472,6.272324578131066,cat
"al-Hadi, Fidda",1928-02-27,White,8234 Chester Ave Chapel Hill NC 27514,al-Hadi@yahoo.com,0,No,Toyota Corona,13212,1332,6.132118497346312,parrot
"el-Hasen, Azhaar",1966-04-29,Hispanic,432 Azalea Rd Apt 2b Wilmington NC 28415,el-Hasen@hotmail.com,0,No,Cadillac Fleetwood,981,1210,6.009810793291427,cat
"Amos, Antonio",1952-03-16,Hispanic,432 Azalea Rd Apt 2b Wilmington NC 28415,Amos@aol.com,1,Yes,Fiat 128,86677,1201,5.150079332320062,none
"al-Zaidi, Afaaf",1937-07-13,White,"10 HWY 15 Philadelphia, PA, 19147",al-Zaidi@hotmail.com,0,No,Ford Pantera L,76551,1966,6.76550833518676,dog
"Johns, Brandon",1970-12-21,White,"10 HWY 15 Philadelphia, PA, 19147",Johns@gmail.com,0,No,Porsche 914-2,56863,1769,6.568625732285044,dog
"Hafoka, Kavita",1957-09-27,White,432 Azalea Rd Apt 2b Wilmington NC 28415,Hafoka@outlook.com,1,Yes,Hornet 4 Drive,49173,1200,4.868800691233653,dog
"Kirby, Cody",1988-07-22,Hispanic,Elvis Presley Blvd MEMPHIS tn 38116,Kirby@aol.com,0,No,Chrysler Imperial,3556,1236,6.035563741467578,none
"Woodie, Mariah",1961-09-28,White,Elvis Presley Blvd MEMPHIS tn 38116,Woodie@gmail.com,0,No,Lincoln Continental,23961,1440,6.239611345140367,none
"Olin, Trudy",1952-10-26,White,"10 HWY 15 Philadelphia, PA, 19147",Olin@hotmail.com,1,Yes,Camaro Z28,8920,1200,4.566902856037343,none
"el-Pour, Rashaad",1944-02-02,Black/AA,8234 Chester Ave Chapel Hill NC 27514,el-Pour@outlook.com,1,Yes,Duster 360,177469,1202,5.831015790653868,cat
"Wohl-Guerrero, Alexis",1964-02-21,Two or more,Elvis Presley Blvd MEMPHIS tn 38116,Wohl-Guerrero@gmail.com,1,Yes,Merc 450SE,55329,1201,4.914966831183892,cat
"Solano, Elizabeth",1961-07-29,White,432 Azalea Rd Apt 2b Wilmington NC 28415,Solano@yahoo.com,2,Yes,Honda Civic,5936,2400,4.544517664624212,cat
"al-Othman, Fidda",1968-05-27,White,8234 Chester Ave Chapel Hill NC 27514,al-Othman@hotmail.com,2,Yes,Hornet Sportabout,155966,2403,5.669742665721284,dog
"Bank, Yutaro",1977-12-10,Two or more,Elvis Presley Blvd MEMPHIS tn 38116,Bank@outlook.com,0,No,Chrysler Imperial,6586,1266,6.065856711567399,none
"Fu, Semdiu",1996-12-09,White,123 Main St Chicago Ik 23948,Fu@gmail.com,0,No,Toyota Corona,92241,2122,6.922407346138836,cat
"al-Rabbani, Tayyiba",1974-12-02,White,123 Main St Chicago Ik 23948,al-Rabbani@aol.com,0,No,Maserati Bora,86062,2061,6.860621720843786,dog
"Radebaugh, Antoine",1972-06-06,White,Elvis Presley Blvd MEMPHIS tn 38116,Radebaugh@gmail.com,0,No,Volvo 142E,105047,2250,7.050468955806636,none
"el-Noori, Hanaan",1980-09-10,White,"23498 Abbey Road Philadeplhia PE, 19403",el-Noori@hotmail.com,0,No,Lincoln Continental,98059,2181,6.980587868597956,cat
"Barton, Nicole",1998-03-22,Hispanic,8234 Chester Ave Chapel Hill NC 27514,Barton@outlook.com,0,No,Chrysler Imperial,147795,2678,7.477952786923785,none
"Hollis, Andrea",1931-09-03,White,Elvis Presley Blvd MEMPHIS tn 38116,Hollis@gmail.com,1,Yes,Hornet 4 Drive,23283,1200,4.674623232802341,none
"Gallarza, Eduardo",1977-09-24,White,432 Azalea Rd Apt 2b Wilmington NC 28415,Gallarza@outlook.com,0,No,Pontiac Firebird,47487,1675,6.474874586056201,dog
"Vann, Jordan",1997-11-21,Black/AA,123 Main St Chicago Ik 23948,Vann@aol.com,0,No,Duster 360,58929,1789,6.5892894955994095,cat
"Ng, Tammy",1940-01-03,White,Elvis Presley Blvd MEMPHIS tn 38116,Ng@aol.com,0,No,Porsche 914-2,73699,1937,6.7369861545691565,none
"Conklin, Daniel",1981-06-28,Two or more,"10 HWY 15 Philadelphia, PA, 19147",Conklin@aol.com,0,No,Dodge Challenger,61017,1810,6.610168091266347,cat
"Hickman, Connor",1946-02-15,White,8234 Chester Ave Chapel Hill NC 27514,Hickman@hotmail.com,3,Yes,Dodge Challenger,93843,3603,5.203819057205659,cat
"el-Abed, Zaahira",1995-10-06,White,123 Main St Chicago Ik 23948,el-Abed@aol.com,0,No,Porsche 914-2,65541,1855,6.655407194645396,cat
"Punzal, Jerry",1990-01-04,White,"10 HWY 15 Philadelphia, PA, 19147",Punzal@aol.com,1,Yes,Fiat 128,84700,1201,5.135246614298038,cat
"Carter, Lemia",1966-03-03,White,432 Azalea Rd Apt 2b Wilmington NC 28415,Carter@gmail.com,2,Yes,Merc 280,128794,2403,5.465951616603018,none
"Arapahoe, Andrew",1941-03-29,White,"10 HWY 15 Philadelphia, PA, 19147",Arapahoe@outlook.com,0,No,Maserati Bora,11504,1315,6.115039095989614,none
"Fetter, Leeah",1978-06-28,Black/AA,"10 HWY 15 Philadelphia, PA, 19147",Fetter@gmail.com,0,No,AMC Javelin,1167,1212,6.011670002359916,cat
"Ware, Elisa",1973-11-20,Two or more,"23498 Abbey Road Philadeplhia PE, 19403",Ware@yahoo.com,1,Yes,Mazda RX4 Wag,127078,1201,5.453083304084308,none
"Carrasco, Paul",1937-12-15,Two or more,8234 Chester Ave Chapel Hill NC 27514,Carrasco@yahoo.com,0,No,Merc 230,158489,2785,7.584889244287959,none
"Ouk, Amaresh",1926-08-05,Hispanic,"10 HWY 15 Philadelphia, PA, 19147",Ouk@hotmail.com,2,Yes,Camaro Z28,58144,2401,4.936077497863591,dog
"San Miguel, Caitlin",1980-04-26,AIAN,432 Azalea Rd Apt 2b Wilmington NC 28415,San Miguel@yahoo.com,3,Yes,Merc 450SL,79178,3602,5.09383315253603,none
"Luna, Eric",2000-01-22,White,8234 Chester Ave Chapel Hill NC 27514,Luna@gmail.com,0,No,Merc 450SE,11818,1318,6.118178134372138,cat
"Wallace, David",1940-03-07,White,"23498 Abbey Road Philadeplhia PE, 19403",Wallace@gmail.com,9,Yes,Lotus Europa,6544,10801,4.549076577923572,cat
"al-Khalid, Mudrika",1953-04-15,Two or more,123 Main St Chicago Ik 23948,al-Khalid@gmail.com,0,No,Merc 450SLC,80266,2003,6.802660457620629,cat
"Hellman, Taylor",1965-11-09,Black/AA,123 Main St Chicago Ik 23948,Hellman@aol.com,1,Yes,Mazda RX4 Wag,134416,1201,5.508117532083298,none
"Moran Ayres, Brandy",1970-05-04,Black/AA,432 Azalea Rd Apt 2b Wilmington NC 28415,Moran Ayres@aol.com,2,Yes,Mazda RX4 Wag,92769,2402,5.195768362623359,cat
"Hernandez, Ruth",1973-12-19,Black/AA,123 Main St Chicago Ik 23948,Hernandez@aol.com,1,Yes,Hornet Sportabout,70264,1201,5.026983619969589,cat
"Steckel, Lucas",1989-01-03,Hispanic,8234 Chester Ave Chapel Hill NC 27514,Steckel@aol.com,5,Yes,Lotus Europa,80401,6004,5.103007626428422,dog
"Kim, Sara",1986-08-30,AIAN,Elvis Presley Blvd MEMPHIS tn 38116,Kim@yahoo.com,0,No,Pontiac Firebird,79352,1994,6.793523259431106,cat
"Loera, Alan",1949-07-26,White,8234 Chester Ave Chapel Hill NC 27514,Loera@hotmail.com,0,No,Duster 360,181099,3011,7.810994461965927,dog
"Livesay, Sarahray",1958-03-04,Black/AA,"10 HWY 15 Philadelphia, PA, 19147",Livesay@yahoo.com,0,No,Merc 450SE,120216,2402,7.202163434549755,none
"Beverly, Jordan",1977-06-27,AIAN,Elvis Presley Blvd MEMPHIS tn 38116,Beverly@gmail.com,0,No,Mazda RX4 Wag,62546,1825,6.625464972314641,dog
"Strausburg, Krystal",1940-09-07,Two or more,"10 HWY 15 Philadelphia, PA, 19147",Strausburg@aol.com,0,No,Datsun 710,242726,3627,8.427256118799187,none
"Towns, Michael Dale",1974-03-15,White,8234 Chester Ave Chapel Hill NC 27514,Towns@yahoo.com,9,Yes,Mazda RX4 Wag,285,10800,4.502136286888477,cat
"Castillo, Jovany",1950-03-30,Asian,"10 HWY 15 Philadelphia, PA, 19147",Castillo@outlook.com,0,No,Fiat 128,62887,1829,6.628873582738549,dog
"el-Asmar, Kameela",1955-10-20,Asian,8234 Chester Ave Chapel Hill NC 27514,el-Asmar@outlook.com,0,No,Hornet 4 Drive,139075,2591,7.390751720471799,cat
"Salem Frech, Russell",1984-10-01,White,8234 Chester Ave Chapel Hill NC 27514,Salem Frech@aol.com,4,Yes,Duster 360,106271,4804,5.297034141791087,none
"Smith, Kristine",2005-01-03,White,8234 Chester Ave Chapel Hill NC 27514,Smith@hotmail.com,1,Yes,Merc 450SE,77746,1201,5.083098589468049,none
"Francis, Caleb",1998-05-26,White,8234 Chester Ave Chapel Hill NC 27514,Francis@outlook.com,1,Yes,AMC Javelin,35780,1200,4.768349173491866,none
"al-Ben, Sanaaa",1958-09-12,White,123 Main St Chicago Ik 23948,al-Ben@outlook.com,1,Yes,Merc 280,57703,1201,4.93277522472236,none
"el-Mohammed, Imtinaan",1961-05-25,Black/AA,"23498 Abbey Road Philadeplhia PE, 19403",el-Mohammed@hotmail.com,1,Yes,Mazda RX4,52888,1201,4.8966567515214745,cat
"Parks, Brianna",1989-03-04,White,432 Azalea Rd Apt 2b Wilmington NC 28415,Parks@outlook.com,1,Yes,Lincoln Continental,75354,1201,5.065156774070058,none
"Jeong, Mi",1996-01-28,White,Elvis Presley Blvd MEMPHIS tn 38116,Jeong@yahoo.com,0,No,Volvo 142E,71869,1919,6.71869470603541,none
"Ferreira, Antonio",1999-11-26,Black/AA,8234 Chester Ave Chapel Hill NC 27514,Ferreira@yahoo.com,0,No,Hornet Sportabout,119868,2399,7.198678382241188,none
"Lanza, David",1936-09-26,White,Elvis Presley Blvd MEMPHIS tn 38116,Lanza@outlook.com,1,Yes,Toyota Corona,96524,1201,5.223932990506942,cat
"el-Moustafa, Baaqir",1967-05-07,Hispanic,8234 Chester Ave Chapel Hill NC 27514,el-Moustafa@yahoo.com,0,No,Merc 280C,14827,1348,6.148269285298435,dog
"Vasquez, Jose",1934-10-11,White,8234 Chester Ave Chapel Hill NC 27514,Vasquez@yahoo.com,0,No,Toyota Corolla,27483,1475,6.274827062168585,none
"Werner, Abigail",1947-08-07,Black/AA,8234 Chester Ave Chapel Hill NC 27514,Werner@hotmail.com,2,Yes,Pontiac Firebird,22805,2400,4.671034310327565,none
"Otwell, Wendy",1974-03-07,Black/AA,"23498 Abbey Road Philadeplhia PE, 19403",Otwell@yahoo.com,0,No,Lotus Europa,88474,2085,6.884736128448944,cat
"Garcia, Brittini",1929-08-26,Hispanic,Elvis Presley Blvd MEMPHIS tn 38116,Garcia@yahoo.com,3,Yes,Camaro Z28,19210,3601,4.644071655696945,none
"Mengist, Wardell",1982-12-09,Two or more,432 Azalea Rd Apt 2b Wilmington NC 28415,Mengist@hotmail.com,0,No,Merc 450SL,84788,2048,6.8478846755283875,cat
"Gregory, Selena",1968-09-25,White,8234 Chester Ave Chapel Hill NC 27514,Gregory@aol.com,0,No,Merc 230,42944,1629,6.429438084034128,dog
"Davis, Logan",1987-07-11,White,123 Main St Chicago Ik 23948,Davis@outlook.com,2,Yes,Camaro Z28,35076,2401,4.763070961470986,none
"Galvan, Marcus",1984-01-03,White,123 Main St Chicago Ik 23948,Galvan@gmail.com,0,No,Datsun 710,130748,2507,7.307484335851291,dog
"Medina, Kassandra",1973-05-09,Two or more,"10 HWY 15 Philadelphia, PA, 19147",Medina@outlook.com,0,No,Porsche 914-2,2708,1227,6.0270788463781875,none
"Tsosie, Bradley",1933-06-17,White,8234 Chester Ave Chapel Hill NC 27514,Tsosie@aol.com,0,No,Hornet Sportabout,35600,1556,6.355999532227937,none
"Montoya, Francisco",1979-07-06,White,Elvis Presley Blvd MEMPHIS tn 38116,Montoya@yahoo.com,1,Yes,Merc 240D,45894,1200,4.844205473763449,none
"Yohe-Ironwing, Taylor",1937-03-03,Two or more,"10 HWY 15 Philadelphia, PA, 19147",Yohe-Ironwing@hotmail.com,0,No,Hornet 4 Drive,160653,2807,7.60653006104625,cat
"Pradhan, Charles",1933-10-04,White,Elvis Presley Blvd MEMPHIS tn 38116,Pradhan@outlook.com,2,Yes,Fiat X1-9,54554,2401,4.909158040587002,none
"Hubbard, Desmond",1975-08-25,White,"23498 Abbey Road Philadeplhia PE, 19403",Hubbard@hotmail.com,1,Yes,Fiat 128,15844,1200,4.61882781733555,none
"Burch, Hannah",1996-07-05,Black/AA,432 Azalea Rd Apt 2b Wilmington NC 28415,Burch@hotmail.com,0,No,Ford Pantera L,47717,1677,6.477174990560834,cat
"Tucker, Rebecca",2002-11-01,Asian,8234 Chester Ave Chapel Hill NC 27514,Tucker@yahoo.com,0,No,Honda Civic,12885,1329,6.128853886100066,none
"al-Noorani, Safaaa",1999-08-20,White,Elvis Presley Blvd MEMPHIS tn 38116,al-Noorani@yahoo.com,0,No,Merc 450SE,34428,1544,6.344284563262368,cat
"Machin, Sky",1989-01-07,White,123 Main St Chicago Ik 23948,Machin@hotmail.com,1,Yes,Valiant,42156,1200,4.816168349067936,none
"Blaskowsky, Jaclyn",1950-12-30,AIAN,123 Main St Chicago Ik 23948,Blaskowsky@hotmail.com,0,No,Merc 450SE,62085,1821,6.620849893867671,dog
"Howell, Jordan",1927-11-19,White,123 Main St Chicago Ik 23948,Howell@aol.com,0,No,Cadillac Fleetwood,181672,3017,7.816718963636556,none
"al-Mohammadi, Amru",1977-07-20,Two or more,123 Main St Chicago Ik 23948,al-Mohammadi@hotmail.com,1,Yes,Mazda RX4 Wag,95177,1201,5.213829486056034,none
"Nguyen, Ryan",1957-06-28,White,Elvis Presley Blvd MEMPHIS tn 38116,Nguyen@gmail.com,2,Yes,Merc 450SLC,57946,2401,4.934595086082373,none
"Troung, Gouthue",1955-02-02,White,Elvis Presley Blvd MEMPHIS tn 38116,Troung@outlook.com,0,No,Camaro Z28,19054,1391,6.190535661945404,dog
"Nguyen, Michell",1927-08-07,Hispanic,"23498 Abbey Road Philadeplhia PE, 19403",Nguyen@outlook.com,3,Yes,Camaro Z28,4057,3600,4.530426067751683,none
"Tillman, Angel",1995-11-05,White,"10 HWY 15 Philadelphia, PA, 19147",Tillman@yahoo.com,2,Yes,Maserati Bora,96405,2402,5.2230339166261786,none
"Cave, Tabitha",1965-03-26,White,Elvis Presley Blvd MEMPHIS tn 38116,Cave@hotmail.com,1,Yes,Valiant,29124,1200,4.718426863863959,none
"el-Azizi, Miqdaam",1985-01-28,White,"10 HWY 15 Philadelphia, PA, 19147",el-Azizi@yahoo.com,0,No,Chrysler Imperial,142842,2628,7.428422794347822,dog
"Martinez, Mariaha",1948-04-22,Hispanic,Elvis Presley Blvd MEMPHIS tn 38116,Martinez@hotmail.com,3,Yes,Ferrari Dino,187231,3606,5.904229308882117,cat
"Wetmore, Chelsea",1969-02-14,White,8234 Chester Ave Chapel Hill NC 27514,Wetmore@yahoo.com,2,Yes,Toyota Corona,92834,2402,5.196257100002447,dog
"Anderson, Awsome",2000-09-20,White,123 Main St Chicago Ik 23948,Anderson@gmail.com,0,No,Mazda RX4 Wag,26449,1464,6.2644906618093215,none
"el-Abdou, Umaima",1994-06-10,White,"10 HWY 15 Philadelphia, PA, 19147",el-Abdou@aol.com,0,No,Merc 280,138658,2587,7.386580058604142,cat
"White, Jazmyn",1985-09-29,White,123 Main St Chicago Ik 23948,White@outlook.com,1,Yes,Pontiac Firebird,29564,1200,4.721729204153378,none
"Jean, Amberzina",1990-04-30,Hispanic,Elvis Presley Blvd MEMPHIS tn 38116,Jean@outlook.com,2,Yes,Toyota Corolla,33822,2401,4.753666792328384,cat
"Mueller, Briggette",1973-07-17,Black/AA,432 Azalea Rd Apt 2b Wilmington NC 28415,Mueller@gmail.com,0,No,Merc 450SE,67503,1875,6.675031216781501,none
"Davis, Ian",1970-02-23,White,"23498 Abbey Road Philadeplhia PE, 19403",Davis@gmail.com,0,No,Lincoln Continental,55021,1750,6.550213885206511,cat
"Haas, Maegen",1972-10-01,White,8234 Chester Ave Chapel Hill NC 27514,Haas@outlook.com,0,No,Ferrari Dino,880,1209,6.008800692437207,dog
"Tsegay, Justin",1964-07-27,AIAN,Elvis Presley Blvd MEMPHIS tn 38116,Tsegay@outlook.com,0,No,Merc 280,144615,2646,7.446146746512962,dog
"el-Salman, Zubaida",1950-12-09,Two or more,"23498 Abbey Road Philadeplhia PE, 19403",el-Salman@aol.com,7,Yes,Datsun 710,125266,8409,5.439498616657779,none
"Mosley, Desjanay",1942-05-07,White,123 Main St Chicago Ik 23948,Mosley@outlook.com,1,Yes,Maserati Bora,13482,1200,4.60111426372588,none
"Bruner, Braxton",1964-05-26,White,432 Azalea Rd Apt 2b Wilmington NC 28415,Bruner@outlook.com,2,Yes,Merc 450SLC,40019,2401,4.800142174294845,cat
"Najera, Kattia",2000-03-05,Two or more,8234 Chester Ave Chapel Hill NC 27514,Najera@hotmail.com,0,No,Lotus Europa,99829,2198,6.998287240641585,cat
"Pacheco, Olivia",2001-08-04,Asian,432 Azalea Rd Apt 2b Wilmington NC 28415,Pacheco@yahoo.com,0,No,Chrysler Imperial,182127,3021,7.82126758517685,cat
"Johnson, Cameron",1973-03-13,Hispanic,"10 HWY 15 Philadelphia, PA, 19147",Johnson@yahoo.com,0,No,Lincoln Continental,156938,2769,7.569377466372094,none
"el-Mostafa, Zuhaira",1926-01-10,Hispanic,Elvis Presley Blvd MEMPHIS tn 38116,el-Mostafa@aol.com,1,Yes,Merc 450SE,2550,1200,4.519125416984564,cat
"Campos, Fernanda",1995-12-29,Hispanic,"10 HWY 15 Philadelphia, PA, 19147",Campos@yahoo.com,3,Yes,AMC Javelin,158942,3605,5.692063223601596,none
"Johnson, Brianna",1972-05-05,White,123 Main St Chicago Ik 23948,Johnson@gmail.com,0,No,Hornet Sportabout,299123,4191,8.991232353503639,cat
"Johnson, Lavall",1999-09-21,Asian,Elvis Presley Blvd MEMPHIS tn 38116,Johnson@aol.com,0,No,Datsun 710,4049,1240,6.040488365902614,dog
"Morikawa, Martin",2000-11-11,White,"23498 Abbey Road Philadeplhia PE, 19403",Morikawa@yahoo.com,4,Yes,Porsche 914-2,153109,4806,5.648317189671316,cat
"Andriani, Medina",1962-03-31,Hispanic,Elvis Presley Blvd MEMPHIS tn 38116,Andriani@outlook.com,0,No,Datsun 710,121968,2420,7.219681656163603,parrot
"Rodriguez, Shawna",1975-09-22,White,Elvis Presley Blvd MEMPHIS tn 38116,Rodriguez@hotmail.com,0,No,Dodge Challenger,101642,2216,7.016415787678865,dog
"Oetken, Candice",1952-02-13,Hispanic,432 Azalea Rd Apt 2b Wilmington NC 28415,Oetken@aol.com,0,No,Camaro Z28,36124,1561,6.361239553181424,cat
"al-Shaikh, Nahla",1923-04-06,White,123 Main St Chicago Ik 23948,al-Shaikh@yahoo.com,0,No,Datsun 710,106928,2269,7.069277380758959,cat
"Minor, Kia",1957-03-11,White,Elvis Presley Blvd MEMPHIS tn 38116,Minor@yahoo.com,0,No,Ferrari Dino,8610,1286,6.086097867989333,cat
"el-Amen, Waseema",1937-12-23,White,123 Main St Chicago Ik 23948,el-Amen@hotmail.com,0,No,Merc 450SL,1743,1217,6.017426019691449,none
"Hall Smith, Malik",1985-06-04,White,"10 HWY 15 Philadelphia, PA, 19147",Hall Smith@yahoo.com,2,Yes,Merc 240D,226304,2405,6.197277951699493,dog
"Joyner, Abbey",1968-04-30,White,123 Main St Chicago Ik 23948,Joyner@hotmail.com,1,Yes,AMC Javelin,52522,1201,4.893918636752433,cat
"Walker, Courtney",1931-09-07,Hispanic,8234 Chester Ave Chapel Hill NC 27514,Walker@yahoo.com,3,Yes,Merc 450SE,174371,3605,5.807778924997754,dog
"al-El-Sayed, Rif'a",1939-06-24,Hispanic,123 Main St Chicago Ik 23948,al-El-Sayed@hotmail.com,0,No,Cadillac Fleetwood,58391,1784,6.583912703962674,none
"Fong, Kathy",1983-10-30,White,Elvis Presley Blvd MEMPHIS tn 38116,Fong@outlook.com,0,No,Merc 450SE,161101,2811,7.611014101960083,cat
"Sheng, Rohan",1969-06-18,White,Elvis Presley Blvd MEMPHIS tn 38116,Sheng@gmail.com,3,Yes,Ferrari Dino,215362,3606,6.115214832880918,cat
"el-Ibrahim, Wardiyya",1971-11-18,White,Elvis Presley Blvd MEMPHIS tn 38116,el-Ibrahim@outlook.com,1,Yes,Mazda RX4,70910,1201,5.031825433340895,cat
"Williams, Morgan",1982-12-17,Hispanic,"10 HWY 15 Philadelphia, PA, 19147",Williams@aol.com,0,No,Merc 450SE,70094,1901,6.700941673754701,cat
"el-Fawaz, Daamir",1985-06-30,Asian,123 Main St Chicago Ik 23948,el-Fawaz@aol.com,1,Yes,Datsun 710,31037,1200,4.732780562035148,none
"Higgins, Madison",1949-01-31,Asian,432 Azalea Rd Apt 2b Wilmington NC 28415,Higgins@gmail.com,0,No,Ferrari Dino,47932,1679,6.479318586328812,none
